01 02 03
01 02 19
01 02 23
01 03 21
01 04 20
01 04 28
01 05 19
01 05 26
01 06 09
01 06 16
01 07 12
01 08 24
01 10 24
01 16 25
01 17 27
01 18 22
02 04 26
02 05 28
02 06 18
02 07 25
02 08 22
02 09 20
02 11 24
02 16 27
02 17 21
03 04 16
03 04 24
03 05 18
03 05 22
03 06 07
03 10 20
03 13 25
03 17 19
03 23 27
03 26 28
04 05 06
04 06 08
04 06 22
04 10 23
04 12 17
04 14 21
04 15 19
04 18 27
05 09 24
05 13 23
05 16 20
05 16 21
05 17 25
05 20 27
06 11 25
06 12 24
06 14 19
06 15 17
06 21 26
06 27 28
07 08 09
07 10 14
07 11 13
07 15 28
08 10 13
08 11 15
08 12 14
09 10 15
09 11 14
09 12 13
09 25 28
10 11 12
12 15 16
13 14 15
13 20 28
14 23 28
16 17 18
16 19 28
16 22 26
16 23 24
17 19 22
17 20 24
17 20 26
17 21 23
17 22 28
18 19 26
18 20 23
18 21 28
18 24 25
19 20 21
19 23 25
19 24 27
20 22 25
21 22 27
21 24 25
22 23 24
23 24 26
25 26 27
