01 02 03
01 02 24
01 04 20
01 05 25
01 06 26
01 14 16
01 21 29
01 22 29
01 23 28
01 24 27
01 27 30
01 31 32
02 04 31
02 05 20
02 05 27
02 06 32
02 21 28
02 22 25
02 23 29
02 26 30
03 04 21
03 04 27
03 05 29
03 05 32
03 06 31
03 16 24
03 20 25
03 20 28
03 22 30
03 23 26
04 05 06
04 22 32
04 23 25
04 24 30
04 25 29
04 26 28
05 16 28
05 21 30
05 22 26
05 23 24
05 30 31
06 07 10
06 08 19
06 09 17
06 11 18
06 12 16
06 13 27
06 14 15
07 08 09
07 08 18
07 09 19
07 11 14
07 12 13
07 15 17
07 16 27
08 09 16
08 10 14
08 10 17
08 11 13
08 12 15
09 10 13
09 11 15
09 12 14
09 12 18
10 11 12
10 11 16
10 11 19
10 15 18
11 12 17
12 19 24
13 14 15
13 14 18
13 14 19
13 16 17
14 17 29
14 23 30
15 16 19
16 17 18
16 20 23
16 21 22
16 26 31
17 19 23
17 20 22
17 21 24
18 19 22
18 20 24
18 21 23
19 20 21
20 21 27
20 23 32
20 26 30
20 29 31
21 25 31
21 26 32
22 23 24
22 23 27
22 23 31
22 28 32
24 25 28
24 26 29
24 31 32
25 26 27
25 30 32
27 28 31
27 29 32
28 29 30
