01 02 03
01 02 12
01 04 25
01 05 07
01 06 18
01 06 19
01 06 20
01 06 21
01 07 10
01 16 24
01 17 23
01 22 25
02 04 07
02 05 25
02 06 24
02 07 14
02 08 09
02 10 19
02 11 15
02 13 18
03 04 08
03 05 09
03 06 07
03 10 14
03 11 13
03 12 15
04 05 06
04 07 15
04 09 10
04 11 22
04 12 13
04 14 19
05 06 23
05 16 21
05 17 20
05 18 24
05 19 22
06 16 22
06 17 25
07 08 09
07 11 13
07 12 22
07 18 25
08 10 13
08 11 15
08 12 14
09 10 15
09 11 14
09 12 13
10 11 12
12 15 16
13 14 15
16 17 18
16 19 23
16 19 25
16 20 22
17 19 22
17 21 24
18 19 24
18 20 23
18 21 22
19 20 21
20 24 25
21 23 25
22 23 24
