01 02 03
01 02 16
01 02 17
01 04 07
01 05 09
01 06 08
01 06 17
01 06 18
01 10 32
01 11 33
01 12 30
01 13 23
01 14 24
01 15 29
01 28 31
02 04 09
02 05 08
02 06 07
02 10 15
02 11 24
02 12 19
02 13 18
02 14 20
02 28 33
02 29 32
02 30 31
03 04 15
03 05 10
03 05 17
03 05 18
03 06 09
03 07 13
03 08 14
03 11 32
03 12 20
03 16 33
03 28 32
03 29 31
03 30 33
04 05 06
04 08 12
04 08 28
04 09 11
04 10 29
04 13 33
04 14 32
04 16 26
04 17 30
04 18 31
05 07 28
05 11 30
05 12 29
05 13 29
05 14 19
05 15 32
05 15 33
05 16 31
06 09 12
06 10 28
06 11 31
06 13 31
06 14 31
06 15 25
06 16 21
06 29 33
06 30 32
07 08 09
07 08 15
07 10 33
07 11 29
07 12 31
07 14 17
07 16 30
07 18 32
08 10 30
08 11 31
08 13 32
08 16 29
08 17 33
08 18 26
09 10 31
09 13 28
09 14 33
09 15 30
09 15 31
09 16 25
09 17 32
09 18 29
10 11 12
10 13 16
10 14 18
10 15 17
11 13 18
11 14 17
11 15 16
11 23 28
12 13 17
12 14 16
12 15 18
12 15 28
12 16 32
12 24 33
13 14 15
13 22 30
14 16 28
14 29 30
16 17 18
17 22 28
17 26 29
17 27 31
18 27 28
18 30 33
19 20 21
19 22 25
19 23 27
19 24 26
20 22 27
20 23 26
20 24 25
21 22 26
21 23 25
21 24 27
22 23 24
25 26 27
28 29 30
31 32 33
