01 02 03
01 04 31
01 05 23
01 05 30
01 06 21
01 07 28
01 17 25
01 19 29
01 20 26
01 21 27
02 04 30
02 05 31
02 06 26
02 17 28
02 19 25
02 20 27
02 21 29
02 23 29
03 04 28
03 05 26
03 06 07
03 17 30
03 19 27
03 20 29
03 21 22
03 23 25
03 30 31
04 05 06
04 07 12
04 08 31
04 09 16
04 10 16
04 11 18
04 13 15
04 14 22
05 12 18
05 17 21
05 19 20
05 25 29
05 27 28
06 11 24
06 13 22
06 14 18
06 17 19
06 20 23
06 25 28
06 27 30
06 29 31
07 08 09
07 10 14
07 11 13
07 15 31
07 16 22
07 18 24
08 09 18
08 09 22
08 10 13
08 11 15
08 12 14
08 16 24
08 19 26
08 20 25
08 21 23
09 10 15
09 11 14
09 12 13
09 24 26
09 28 31
10 11 12
10 12 24
10 18 31
10 22 30
11 14 16
11 22 31
12 14 31
12 15 16
12 15 22
13 14 15
13 14 24
13 15 18
13 16 31
15 24 28
16 17 18
16 19 23
16 20 22
17 19 22
17 20 24
17 23 27
17 26 29
18 19 24
18 20 23
18 22 27
18 25 30
19 20 21
19 21 30
19 23 28
20 28 30
21 24 25
21 26 28
22 23 24
23 26 30
24 27 29
25 26 27
28 29 30
