01 02 03
01 02 12
01 04 15
01 05 07
01 05 10
01 05 13
01 06 14
01 08 12
01 09 11
01 14 26
01 25 26
02 03 07
02 04 25
02 05 15
02 06 26
02 08 09
02 10 17
02 11 22
02 13 26
02 14 21
02 16 24
03 04 10
03 04 11
03 04 14
03 04 24
03 05 26
03 06 25
03 08 23
03 09 15
03 12 18
03 13 20
04 05 06
04 07 26
04 08 19
04 09 18
04 12 23
04 13 25
05 08 11
05 09 20
05 12 14
05 24 25
06 07 10
06 08 09
06 11 15
06 12 13
07 08 09
07 11 14
07 12 13
07 15 25
08 09 25
08 10 14
08 11 13
08 15 26
09 10 13
09 12 14
09 12 26
10 11 12
10 12 15
10 21 25
10 22 26
11 12 25
11 17 26
13 14 15
14 16 25
15 16 19
16 17 18
16 20 23
16 21 22
17 19 23
17 20 22
17 21 24
18 19 22
18 20 24
18 21 23
19 20 21
19 24 26
22 23 24
