01 02 03
01 02 18
01 03 14
01 04 07
01 04 17
01 05 09
01 06 08
01 07 15
01 10 28
01 11 30
01 12 19
01 13 29
01 16 23
02 04 09
02 04 16
02 05 08
02 06 07
02 07 13
02 08 12
02 10 30
02 11 29
02 14 28
02 15 20
02 17 24
03 04 08
03 05 07
03 05 17
03 06 09
03 06 16
03 06 29
03 07 11
03 10 19
03 12 30
03 13 21
03 15 28
03 18 25
04 05 06
04 05 18
04 09 11
04 10 29
04 12 21
04 13 28
04 14 30
04 15 26
05 06 10
05 07 12
05 11 28
05 13 30
05 14 29
05 15 22
05 16 27
06 11 20
06 12 28
06 13 26
06 14 22
06 15 30
06 17 18
07 08 09
07 10 23
07 14 27
07 16 28
07 17 30
07 18 29
08 09 10
08 09 13
08 09 14
08 09 15
08 11 24
08 16 30
08 17 29
08 18 28
09 12 25
09 16 29
09 17 28
09 18 30
10 11 12
10 13 16
10 14 18
10 15 17
11 13 18
11 14 17
11 15 16
12 13 17
12 14 16
12 15 18
12 15 29
13 14 15
16 17 18
19 20 21
19 22 25
19 23 27
19 24 26
20 22 27
20 23 26
20 24 25
21 22 26
21 23 25
21 24 27
22 23 24
25 26 27
28 29 30
