01 02 03
01 02 10
01 02 21
01 03 18
01 04 26
01 05 25
01 06 14
01 07 15
01 07 16
01 12 17
01 12 19
01 14 19
01 15 24
01 20 27
01 22 26
01 28 29
02 04 28
02 05 27
02 06 16
02 07 20
02 08 18
02 13 23
02 15 25
02 17 22
02 19 24
02 26 29
03 04 21
03 04 25
03 05 29
03 06 20
03 07 22
03 11 19
03 12 23
03 16 24
03 17 27
03 26 28
04 05 06
04 07 19
04 10 22
04 11 17
04 14 16
04 20 24
04 27 29
05 07 28
05 09 18
05 10 21
05 13 22
05 14 20
05 24 26
06 07 10
06 08 12
06 09 11
06 13 28
06 19 26
07 08 09
07 11 14
07 12 13
08 09 28
08 10 14
08 11 13
08 11 20
08 15 23
08 16 27
08 17 29
08 19 27
09 10 13
09 12 14
09 15 22
09 21 25
09 23 29
10 11 12
10 15 29
10 25 28
11 14 28
11 15 17
11 16 26
11 23 25
12 15 20
12 16 28
12 18 26
13 14 15
13 18 25
13 18 29
15 16 19
15 18 20
15 21 27
16 17 18
16 20 23
16 21 22
17 19 23
17 20 22
17 21 26
17 24 25
18 19 22
18 21 23
18 24 27
19 20 21
20 23 26
21 24 29
22 23 24
22 23 27
22 25 29
25 26 27
