01 02 03
01 04 07
01 05 09
01 06 08
01 09 22
01 19 22
01 20 21
01 23 24
02 04 09
02 05 08
02 06 07
02 19 24
02 20 23
02 21 22
03 04 05
03 06 09
03 07 08
03 19 23
03 20 22
03 21 24
04 05 06
04 05 23
04 05 24
04 06 22
04 07 21
04 08 19
04 10 20
05 07 19
05 07 20
05 08 22
05 11 21
06 09 19
06 20 24
06 21 23
07 08 09
07 08 24
07 09 23
07 12 22
08 09 20
08 09 21
08 13 23
09 14 24
10 11 12
10 13 16
10 14 18
10 15 17
11 13 18
11 14 17
11 15 16
12 13 17
12 14 16
12 15 18
13 14 15
16 17 18
19 20 21
22 23 24
